Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,sample_name,scientific_name,SRA Study,Submitter_Id
ERR15204941,WGS,268,4509841590,PRJEB91891,SAMEA118675341,hospital [ENVO:00002173],1962550508,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610650,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-28T06:49:00Z,1,SAMEA118675341,AS_7979_18,human feces metagenome,ERP174821,AS_7979_18
ERR15204943,WGS,268,5509670423,PRJEB91891,SAMEA118675342,hospital [ENVO:00002173],2437999582,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610652,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:30:00Z,1,SAMEA118675342,AS_7979_19,human feces metagenome,ERP174821,AS_7979_19
ERR15204944,WGS,267,5917098763,PRJEB91891,SAMEA118675361,hospital [ENVO:00002173],2680061553,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2014,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610653,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T18:29:00Z,1,SAMEA118675361,AS_7979_1,human feces metagenome,ERP174821,AS_7979_1
ERR15204945,WGS,268,5326393587,PRJEB91891,SAMEA118675343,hospital [ENVO:00002173],2356089305,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610654,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T19:07:00Z,1,SAMEA118675343,AS_7979_20,human feces metagenome,ERP174821,AS_7979_20
ERR15204946,WGS,268,5299256973,PRJEB91891,SAMEA118675344,hospital [ENVO:00002173],2347077323,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610655,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:31:00Z,1,SAMEA118675344,AS_7979_21,human feces metagenome,ERP174821,AS_7979_21
ERR15204947,WGS,268,4779481470,PRJEB91891,SAMEA118675345,hospital [ENVO:00002173],2114785798,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610656,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:36:00Z,1,SAMEA118675345,AS_7979_22,human feces metagenome,ERP174821,AS_7979_22
ERR15204948,WGS,268,4435459849,PRJEB91891,SAMEA118675346,hospital [ENVO:00002173],1986832242,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610657,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T18:59:00Z,1,SAMEA118675346,AS_7979_23,human feces metagenome,ERP174821,AS_7979_23
ERR15204949,WGS,268,4682258508,PRJEB91891,SAMEA118675347,hospital [ENVO:00002173],2073445768,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610658,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-28T06:22:00Z,1,SAMEA118675347,AS_7979_24,human feces metagenome,ERP174821,AS_7979_24
ERR15204951,WGS,268,5360276035,PRJEB91891,SAMEA118675348,hospital [ENVO:00002173],2380366320,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610660,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-30T15:00:00Z,1,SAMEA118675348,AS_7979_25,human feces metagenome,ERP174821,AS_7979_25
ERR15204953,WGS,268,5781648120,PRJEB91891,SAMEA118675349,hospital [ENVO:00002173],2527131211,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610662,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T21:59:00Z,1,SAMEA118675349,AS_7979_26,human feces metagenome,ERP174821,AS_7979_26
