Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR33580569,AMPLICON,501,14702458,PRJNA1263152,SAMN48512861,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9992780,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810383,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.61 E,AD13TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD13TAKE,SRP585526
SRR33580570,AMPLICON,501,18658407,PRJNA1263152,SAMN48512860,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12685271,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810382,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.60 E,AD13PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD13PRE,SRP585526
SRR33580571,AMPLICON,501,60769251,PRJNA1263152,SAMN48512859,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",41612759,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810381,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.59 E,AD12TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD12TAKE,SRP585526
SRR33580572,AMPLICON,501,19871825,PRJNA1263152,SAMN48512858,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13951409,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810380,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.58 E,AD12PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD12PRE,SRP585526
SRR33580573,AMPLICON,501,17399993,PRJNA1263152,SAMN48512857,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11855529,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810379,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.57 E,AD11TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD11TAKE,SRP585526
SRR33580574,AMPLICON,501,17793981,PRJNA1263152,SAMN48512856,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12333076,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810378,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.56 E,AD11PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD11PRE,SRP585526
SRR33580575,AMPLICON,501,26402052,PRJNA1263152,SAMN48512838,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",18030564,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810377,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.38 E,AD02PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD02PRE,SRP585526
SRR33580576,AMPLICON,501,15570455,PRJNA1263152,SAMN48512855,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10919683,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810376,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.55 E,AD10TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD10TAKE,SRP585526
SRR33580577,AMPLICON,501,20643727,PRJNA1263152,SAMN48512854,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14159757,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810375,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.54 E,AD10PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD10PRE,SRP585526
SRR33580578,AMPLICON,501,20787110,PRJNA1263152,SAMN48512853,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14607813,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810374,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.53 E,AD09TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD09TAKE,SRP585526
SRR33580579,AMPLICON,501,13514245,PRJNA1263152,SAMN48512852,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9292950,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810373,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.52 E,AD09PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD09PRE,SRP585526
SRR33580580,AMPLICON,501,12085950,PRJNA1263152,SAMN48512851,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8294472,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810372,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.51 E,AD08TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD08TAKE,SRP585526
SRR33580581,AMPLICON,501,20563486,PRJNA1263152,SAMN48512850,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14344908,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810371,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.50 E,AD08PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD08PRE,SRP585526
SRR33580582,AMPLICON,501,13162831,PRJNA1263152,SAMN48512849,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9075761,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810370,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.49 E,AD07TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD07TAKE,SRP585526
SRR33580583,AMPLICON,501,15407752,PRJNA1263152,SAMN48512848,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10605228,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810369,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.48 E,AD07PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD07PRE,SRP585526
SRR33580584,AMPLICON,501,19118681,PRJNA1263152,SAMN48512847,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13060527,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810368,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.47 E,AD06TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD06TAKE,SRP585526
SRR33580585,AMPLICON,500,21578745,PRJNA1263152,SAMN48512846,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14908652,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810367,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.46 E,AD06PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD06PRE,SRP585526
SRR33580586,AMPLICON,501,12554798,PRJNA1263152,SAMN48512837,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8571096,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810366,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.37 E,AD01TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD01TAKE,SRP585526
SRR33580587,AMPLICON,501,15621682,PRJNA1263152,SAMN48512836,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10753763,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810365,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.36 E,AD01PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD01PRE,SRP585526
