Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_label,Sample Name,SRA Study
SRR31961466,WGS,263,3554582056,PRJNA1209112,SAMN46207526,Metagenome or environmental,1008320475,RASHIDILAB,not applicable,public,"fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX27316885,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A025_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:29:00Z,1,A025_t1,zr16701_40,SRP556577
SRR31961467,WGS,263,3236964041,PRJNA1209112,SAMN46207525,Metagenome or environmental,912354515,RASHIDILAB,not applicable,public,"sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27316884,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A007_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:26:00Z,1,A007_t0,zr16701_4,SRP556577
SRR31961468,WGS,250,5639376970,PRJNA1209112,SAMN46207524,Metagenome or environmental,1614298392,RASHIDILAB,not applicable,public,"sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX27316883,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A020_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:31:00Z,1,A020_t1,zr16701_39,SRP556577
SRR31961469,WGS,254,2902533788,PRJNA1209112,SAMN46207523,Metagenome or environmental,834658252,RASHIDILAB,not applicable,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX27316882,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A010_t2,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A010_t2,zr16701_38,SRP556577
SRR31961470,WGS,257,3639357850,PRJNA1209112,SAMN46207522,Metagenome or environmental,1037543680,RASHIDILAB,not applicable,public,"sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX27316881,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A019_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:26:00Z,1,A019_t1,zr16701_37,SRP556577
SRR31961471,WGS,264,2517832181,PRJNA1209112,SAMN46207521,Metagenome or environmental,707717555,RASHIDILAB,not applicable,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX27316880,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A029_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:24:00Z,1,A029_t1,zr16701_36,SRP556577
SRR31961472,WGS,264,4687323480,PRJNA1209112,SAMN46207520,Metagenome or environmental,1317361367,RASHIDILAB,not applicable,public,"fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX27316879,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A023_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:28:00Z,1,A023_t1,zr16701_35,SRP556577
SRR31961473,WGS,252,2687856811,PRJNA1209112,SAMN46207519,Metagenome or environmental,765915485,RASHIDILAB,not applicable,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX27316878,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A032_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A032_t0,zr16701_34,SRP556577
SRR31961474,WGS,253,2132542361,PRJNA1209112,SAMN46207483,Metagenome or environmental,695199281,RASHIDILAB,not applicable,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX27316877,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A004_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:26:00Z,1,A004_t0,zr15702_220,SRP556577
SRR31961475,WGS,271,2542620576,PRJNA1209112,SAMN46207518,Metagenome or environmental,709685171,RASHIDILAB,not applicable,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX27316876,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A031_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A031_t0,zr16701_33,SRP556577
