Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,hostid,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study
SRR10572482,WGA,445,13208319,PRJNA592853,SAMN13441037,Metagenome or environmental,8561541,UNIVERSITY OF BOLOGNA,not available,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX7253898,Italy,Europe,Italy:Bologna,Homo sapiens,BE3PRE,Illumina MiSeq,human feces,human gut,missing,BE3PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE3PRE,metagenomic assembly,SRP234378
SRR10572483,WGA,446,10464689,PRJNA592853,SAMN13441019,Metagenome or environmental,6648154,UNIVERSITY OF BOLOGNA,not available,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7253897,Italy,Europe,Italy:Bologna,Homo sapiens,BE10P40,Illumina MiSeq,human feces,human gut,missing,BE10P40,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE10P40,metagenomic assembly,SRP234378
SRR10572484,WGA,464,13581096,PRJNA592853,SAMN13441036,Metagenome or environmental,8679165,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7253896,Italy,Europe,Italy:Bologna,Homo sapiens,BE3P63,Illumina MiSeq,human feces,human gut,missing,BE3P63,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE3P63,metagenomic assembly,SRP234378
SRR10572485,WGA,461,13658964,PRJNA592853,SAMN13441035,Metagenome or environmental,8497334,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7253895,Italy,Europe,Italy:Bologna,Homo sapiens,BE3P58,Illumina MiSeq,human feces,human gut,missing,BE3P58,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE3P58,metagenomic assembly,SRP234378
SRR10572486,WGA,455,13477679,PRJNA592853,SAMN13441034,Metagenome or environmental,8414170,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX7253894,Italy,Europe,Italy:Bologna,Homo sapiens,BE3P52,Illumina MiSeq,human feces,human gut,missing,BE3P52,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE3P52,metagenomic assembly,SRP234378
SRR10572487,WGA,454,13490104,PRJNA592853,SAMN13441033,Metagenome or environmental,8277001,UNIVERSITY OF BOLOGNA,not available,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX7253893,Italy,Europe,Italy:Bologna,Homo sapiens,BE3P26,Illumina MiSeq,human feces,human gut,missing,BE3P26,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE3P26,metagenomic assembly,SRP234378
SRR10572488,WGA,458,8128398,PRJNA592853,SAMN13441032,Metagenome or environmental,5216812,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX7253892,Italy,Europe,Italy:Bologna,Homo sapiens,BE3P20,Illumina MiSeq,human feces,human gut,missing,BE3P20,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE3P20,metagenomic assembly,SRP234378
SRR10572491,WGA,449,7778391,PRJNA592853,SAMN13441029,Metagenome or environmental,5064147,UNIVERSITY OF BOLOGNA,not available,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX7253889,Italy,Europe,Italy:Bologna,Homo sapiens,BE2P32,Illumina MiSeq,human feces,human gut,missing,BE2P32,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE2P32,metagenomic assembly,SRP234378
SRR10572492,WGA,447,13285065,PRJNA592853,SAMN13441028,Metagenome or environmental,8521573,UNIVERSITY OF BOLOGNA,not available,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7253888,Italy,Europe,Italy:Bologna,Homo sapiens,BE2P25,Illumina MiSeq,human feces,human gut,missing,BE2P25,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE2P25,metagenomic assembly,SRP234378
SRR10572495,WGA,460,5553163,PRJNA592853,SAMN13441118,Metagenome or environmental,3690502,UNIVERSITY OF BOLOGNA,not available,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX7253885,Italy,Europe,Italy:Bologna,Homo sapiens,BP9P26,Illumina MiSeq,human feces,human gut,missing,BP9P26,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BP9P26,metagenomic assembly,SRP234378
SRR10572496,WGA,446,4737413,PRJNA592853,SAMN13441117,Metagenome or environmental,2988447,UNIVERSITY OF BOLOGNA,not available,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX7253884,Italy,Europe,Italy:Bologna,Homo sapiens,BP9P23,Illumina MiSeq,human feces,human gut,missing,BP9P23,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BP9P23,metagenomic assembly,SRP234378
SRR10572497,WGA,452,13469171,PRJNA592853,SAMN13441027,Metagenome or environmental,8447141,UNIVERSITY OF BOLOGNA,not available,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX7253883,Italy,Europe,Italy:Bologna,Homo sapiens,BE2P14,Illumina MiSeq,human feces,human gut,missing,BE2P14,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE2P14,metagenomic assembly,SRP234378
SRR10572498,WGA,453,13296724,PRJNA592853,SAMN13441018,Metagenome or environmental,8605424,UNIVERSITY OF BOLOGNA,not available,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7253882,Italy,Europe,Italy:Bologna,Homo sapiens,BE10P32,Illumina MiSeq,human feces,human gut,missing,BE10P32,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE10P32,metagenomic assembly,SRP234378
