Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_id_unique,Sample Name,SRA Study,SampleID (run)
SRR15158096,AMPLICON,259,14633149,PRJNA746305,SAMN14139107,Metagenome or environmental,9738610,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX11465699,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1736B .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1736B,1736B,SRP328310,
SRR15158097,AMPLICON,265,10407636,PRJNA746305,SAMN14138923,Metagenome or environmental,6024263,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX11465698,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1622D .. TR_N_15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1622D,1622D,SRP328310,
SRR15158098,AMPLICON,260,7885147,PRJNA746305,SAMN14139106,Metagenome or environmental,5118880,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11465697,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1736A .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1736A,1736A,SRP328310,
SRR15158099,AMPLICON,266,35400280,PRJNA746305,SAMN14139090,Metagenome or environmental,19810117,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11465696,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1731K .. Pool_13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1731K,1731K,SRP328310,
SRR15158100,AMPLICON,260,7741728,PRJNA746305,SAMN14139086,Metagenome or environmental,5452754,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11465695,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1726C .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1726C,1726C,SRP328310,
SRR15158101,AMPLICON,261,658298,PRJNA746305,SAMN14139085,Metagenome or environmental,545024,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX11465694,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1726B .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1726B,1726B,SRP328310,
SRR15158102,AMPLICON,263,11131505,PRJNA746305,SAMN14139084,Metagenome or environmental,7643743,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11465693,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1726A .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1726A,1726A,SRP328310,
SRR15158103,AMPLICON,264,13668513,PRJNA746305,SAMN14139079,Metagenome or environmental,8095805,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX11465692,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1720L .. Pool_13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1720L,1720L,SRP328310,
SRR15158104,AMPLICON,260,22008601,PRJNA746305,SAMN14139078,Metagenome or environmental,12608690,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX11465691,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1720K .. Pool_13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1720K,1720K,SRP328310,
SRR15158105,AMPLICON,260,26975860,PRJNA746305,SAMN14139076,Metagenome or environmental,12485275,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX11465690,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1716C .. Pool_13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:10:00Z,1,1716C,1716C,SRP328310,
